CODE_PROD,LIB_PROD,NATURE_CONSOM,QTE_T,week_start,week_end,year,month,week_of_year,lag_1w,lag_2w,lag_3w,lag_4w,lag_8w,roll_4w_mean,roll_8w_mean,roll_4w_std
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-04-10,2023-04-16,2023,4,15,6.0,7.0,8.0,7.0,4.0,7.0,5.25,0.8164965809277263
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-04-17,2023-04-23,2023,4,16,1.0,6.0,7.0,8.0,4.0,5.5,4.875,3.1091263510296048
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-04-24,2023-04-30,2023,4,17,6.0,1.0,6.0,7.0,5.0,5.0,5.125,2.70801280154532
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-05-01,2023-05-07,2023,5,18,6.0,6.0,1.0,6.0,1.0,4.75,5.25,2.5
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-05-08,2023-05-14,2023,5,19,2.0,6.0,6.0,1.0,7.0,3.75,5.375,2.629955639676583
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-05-22,2023-05-28,2023,5,21,1.0,2.0,6.0,6.0,8.0,3.75,4.625,2.629955639676583
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-05-29,2023-06-04,2023,5,22,2.0,1.0,2.0,6.0,7.0,2.75,3.875,2.2173557826083448
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-06-05,2023-06-11,2023,6,23,1.0,2.0,1.0,2.0,6.0,1.5,3.125,0.5773502691896251
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-06-19,2023-06-25,2023,6,25,2.0,1.0,2.0,1.0,1.0,1.5,2.625,0.5773502691896251
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-07-03,2023-07-09,2023,7,27,3.0,2.0,1.0,2.0,6.0,2.0,2.875,0.8164965809277255
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-07-10,2023-07-16,2023,7,28,1.0,3.0,2.0,1.0,6.0,1.75,2.25,0.9574271077563377
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-07-17,2023-07-23,2023,7,29,3.0,1.0,3.0,2.0,2.0,2.25,1.875,0.9574271077563377
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2023-07-24,2023-07-30,2023,7,30,3.0,3.0,1.0,3.0,1.0,2.5,2.0,0.9999999999999996
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-07-31,2023-08-06,2023,7,31,4.0,3.0,3.0,1.0,2.0,2.75,2.375,1.2583057392117913
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-08-14,2023-08-20,2023,8,33,1.0,4.0,3.0,3.0,1.0,2.75,2.25,1.2583057392117913
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-08-21,2023-08-27,2023,8,34,1.0,1.0,4.0,3.0,2.0,2.25,2.25,1.4999999999999998
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-09-04,2023-09-10,2023,9,36,1.0,1.0,1.0,4.0,3.0,1.75,2.125,1.4999999999999998
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,5.0,2023-09-11,2023-09-17,2023,9,37,2.0,1.0,1.0,1.0,1.0,1.25,2.0,0.5
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-09-18,2023-09-24,2023,9,38,5.0,2.0,1.0,1.0,3.0,2.25,2.5,1.8929694486000912
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-09-25,2023-10-01,2023,9,39,1.0,5.0,2.0,1.0,3.0,2.25,2.25,1.8929694486000912
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-10-09,2023-10-15,2023,10,41,2.0,1.0,5.0,2.0,4.0,2.5,2.125,1.7320508075688774
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-10-16,2023-10-22,2023,10,42,2.0,2.0,1.0,5.0,1.0,2.5,1.875,1.7320508075688774
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-11-13,2023-11-19,2023,11,46,1.0,2.0,2.0,1.0,1.0,1.5,1.875,0.5773502691896261
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-11-20,2023-11-26,2023,11,47,2.0,1.0,2.0,2.0,1.0,1.75,2.0,0.5000000000000003
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-12-11,2023-12-17,2023,12,50,2.0,2.0,1.0,2.0,2.0,1.75,2.125,0.5000000000000003
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-12-18,2023-12-24,2023,12,51,3.0,2.0,2.0,1.0,5.0,2.0,2.25,0.8164965809277263
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2024-01-01,2024-01-07,2024,1,1,1.0,3.0,2.0,2.0,1.0,2.0,1.75,0.8164965809277263
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2024-01-15,2024-01-21,2024,1,3,3.0,1.0,3.0,2.0,2.0,2.25,2.0,0.9574271077563382
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,2.0,2022-10-31,2022-11-06,2022,10,44,2.0,1.0,1.0,1.0,,1.25,1.25,0.5
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-11-14,2022-11-20,2022,11,46,2.0,2.0,1.0,1.0,,1.5,1.4,0.5773502691896257
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-11-28,2022-12-04,2022,11,48,1.0,2.0,2.0,1.0,,1.5,1.3333333333333333,0.5773502691896257
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-12-12,2022-12-18,2022,12,50,1.0,1.0,2.0,2.0,,1.5,1.2857142857142858,0.5773502691896257
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2022-12-26,2023-01-01,2022,12,52,1.0,1.0,1.0,2.0,1.0,1.25,1.25,0.5
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-01-02,2023-01-08,2023,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-01-23,2023-01-29,2023,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-02-13,2023-02-19,2023,2,7,1.0,1.0,1.0,1.0,2.0,1.0,1.25,0.0
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-02-20,2023-02-26,2023,2,8,1.0,1.0,1.0,1.0,2.0,1.0,1.125,0.0
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-02-27,2023-03-05,2023,2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-03-20,2023-03-26,2023,3,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,2.0,2023-05-29,2023-06-04,2023,5,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-08-28,2023-09-03,2023,8,35,2.0,1.0,1.0,1.0,1.0,1.25,1.125,0.5
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-09-11,2023-09-17,2023,9,37,1.0,2.0,1.0,1.0,1.0,1.25,1.125,0.5
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-10-23,2023-10-29,2023,10,43,1.0,1.0,2.0,1.0,1.0,1.25,1.125,0.5
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,1.0,2023-11-06,2023-11-12,2023,11,45,1.0,1.0,1.0,2.0,1.0,1.25,1.125,0.5
5AA080070,EAU OXYGENEE 10V  DEZENF  FL 30ML SPRAY,1.0,9.0,2023-11-13,2023-11-19,2023,11,46,1.0,1.0,1.0,1.0,1.0,1.0,1.125,0.0
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2022-08-29,2022-09-04,2022,8,35,1.0,2.0,2.0,1.0,,1.5,1.5,0.5773502691896257
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2022-09-05,2022-09-11,2022,9,36,1.0,1.0,2.0,2.0,,1.5,1.4,0.5773502691896257
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,3.0,2022-09-12,2022-09-18,2022,9,37,1.0,1.0,1.0,2.0,,1.25,1.3333333333333333,0.5
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2022-09-19,2022-09-25,2022,9,38,3.0,1.0,1.0,1.0,,1.5,1.5714285714285714,1.0
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,3.0,2022-09-26,2022-10-02,2022,9,39,2.0,3.0,1.0,1.0,1.0,1.75,1.625,0.9574271077563381
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2022-10-03,2022-10-09,2022,10,40,3.0,2.0,3.0,1.0,2.0,2.25,1.875,0.9574271077563381
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2022-10-17,2022-10-23,2022,10,42,2.0,3.0,2.0,3.0,2.0,2.5,1.875,0.5773502691896258
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2022-10-24,2022-10-30,2022,10,43,2.0,2.0,3.0,2.0,1.0,2.25,1.875,0.5000000000000001
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2022-10-31,2022-11-06,2022,10,44,1.0,2.0,2.0,3.0,1.0,2.0,1.875,0.8164965809277261
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2022-11-07,2022-11-13,2022,11,45,1.0,1.0,2.0,2.0,1.0,1.5,1.875,0.5773502691896258
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,1.0,2022-11-14,2022-11-20,2022,11,46,2.0,1.0,1.0,2.0,3.0,1.5,2.0,0.5773502691896258
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,3.0,2022-11-21,2022-11-27,2022,11,47,1.0,2.0,1.0,1.0,2.0,1.25,1.75,0.5000000000000001
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2022-11-28,2022-12-04,2022,11,48,3.0,1.0,2.0,1.0,3.0,1.75,1.875,0.9574271077563382
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,3.0,2022-12-05,2022-12-11,2022,12,49,2.0,3.0,1.0,2.0,2.0,2.0,1.75,0.8164965809277263
5AA190003,VENTOLINE NEB 50MG/10 50MG/10ML Nébulis,1.0,2.0,2022-12-12,2022-12-18,2022,12,50,3.0,2.0,3.0,1.0,2.0,2.25,1.875,0.9574271077563382
