CODE_PROD,LIB_PROD,NATURE_CONSOM,QTE_T,week_start,week_end,year,month,week_of_year
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-05-22,2023-05-28,2023,5,21
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,4.0,2023-05-29,2023-06-04,2023,5,22
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,5.0,2023-07-24,2023-07-30,2023,7,30
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2023-08-07,2023-08-13,2023,8,32
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-08-14,2023-08-20,2023,8,33
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-08-21,2023-08-27,2023,8,34
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-08-28,2023-09-03,2023,8,35
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-09-18,2023-09-24,2023,9,38
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-11-20,2023-11-26,2023,11,47
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-12-18,2023-12-24,2023,12,51
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,9.0,2023-12-25,2023-12-31,2023,12,52
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2024-01-01,2024-01-07,2024,1,1
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,3.0,2024-01-22,2024-01-28,2024,1,4
5AA070002,NITRODERM 5MG PATCHS   PATCH (10),1.0,1.0,2022-10-31,2022-11-06,2022,10,44
5AA070002,NITRODERM 5MG PATCHS   PATCH (10),1.0,1.0,2023-08-28,2023-09-03,2023,8,35
5AA070004,NITRODERM TTS 10MG PA  PATCH (10),1.0,1.0,2023-06-05,2023-06-11,2023,6,23
5AA070004,NITRODERM TTS 10MG PA  PATCH (10),1.0,1.0,2023-11-20,2023-11-26,2023,11,47
5AA070004,NITRODERM TTS 10MG PA  PATCH (10),1.0,1.0,2024-01-08,2024-01-14,2024,1,2
5AA080001,AGIDERM 2% CRÈME TUBE DE 15 G CREME (01),1.0,1.0,2022-06-20,2022-06-26,2022,6,25
5AA080001,AGIDERM 2% CRÈME TUBE DE 15 G CREME (01),1.0,1.0,2022-11-21,2022-11-27,2022,11,47
5AA080013,BETADINE SCRUB 4% SOL  INJECTA (01),0.0,1.0,2022-12-19,2022-12-25,2022,12,51
5AA080013,BETADINE SCRUB 4% SOL  INJECTA (01),0.0,2.0,2023-03-20,2023-03-26,2023,3,12
5AA080013,BETADINE SCRUB 4% SOL  INJECTA (01),0.0,1.0,2023-08-14,2023-08-20,2023,8,33
5AA080013,BETADINE SCRUB 4% SOL  INJECTA (01),0.0,2.0,2023-09-18,2023-09-24,2023,9,38
5AA080013,BETADINE SCRUB 4% SOL  INJECTA (01),0.0,1.0,2024-01-22,2024-01-28,2024,1,4
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2022-09-12,2022-09-18,2022,9,37
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,2.0,2022-10-17,2022-10-23,2022,10,42
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2022-12-05,2022-12-11,2022,12,49
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2022-12-12,2022-12-18,2022,12,50
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2023-01-16,2023-01-22,2023,1,3
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,2.0,2023-04-03,2023-04-09,2023,4,14
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2023-05-29,2023-06-04,2023,5,22
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2023-07-03,2023-07-09,2023,7,27
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2023-08-21,2023-08-27,2023,8,34
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2023-09-04,2023-09-10,2023,9,36
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2023-10-02,2023-10-08,2023,10,40
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2023-10-30,2023-11-05,2023,10,44
5AA080035,HUILE DE PARAFFINE 1L  SOLUTIO (01),0.0,1.0,2024-01-22,2024-01-28,2024,1,4
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2022-07-04,2022-07-10,2022,7,27
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2022-09-12,2022-09-18,2022,9,37
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2022-10-17,2022-10-23,2022,10,42
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2022-11-28,2022-12-04,2022,11,48
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2023-02-20,2023-02-26,2023,2,8
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2023-04-03,2023-04-09,2023,4,14
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2023-05-29,2023-06-04,2023,5,22
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2023-07-03,2023-07-09,2023,7,27
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2023-10-16,2023-10-22,2023,10,42
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2023-11-13,2023-11-19,2023,11,46
5AA080053,VASELINE POT 1KG  POT (01),0.0,1.0,2023-12-25,2023-12-31,2023,12,52
5AA080053,VASELINE POT 1KG  POT (01),1.0,1.0,2024-01-22,2024-01-28,2024,1,4
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),0.0,1.0,2022-06-06,2022-06-12,2022,6,23
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-06-06,2022-06-12,2022,6,23
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-06-13,2022-06-19,2022,6,24
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,5.0,2022-06-20,2022-06-26,2022,6,25
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-06-27,2022-07-03,2022,6,26
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-07-04,2022-07-10,2022,7,27
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2022-07-11,2022-07-17,2022,7,28
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2022-07-18,2022-07-24,2022,7,29
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2022-07-25,2022-07-31,2022,7,30
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2022-08-01,2022-08-07,2022,8,31
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2022-08-08,2022-08-14,2022,8,32
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2022-08-15,2022-08-21,2022,8,33
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-08-22,2022-08-28,2022,8,34
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2022-08-29,2022-09-04,2022,8,35
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-09-05,2022-09-11,2022,9,36
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,8.0,2022-09-12,2022-09-18,2022,9,37
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-10-03,2022-10-09,2022,10,40
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2022-10-10,2022-10-16,2022,10,41
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2022-10-17,2022-10-23,2022,10,42
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-10-24,2022-10-30,2022,10,43
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-10-31,2022-11-06,2022,10,44
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-11-07,2022-11-13,2022,11,45
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-11-14,2022-11-20,2022,11,46
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2022-11-21,2022-11-27,2022,11,47
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-12-12,2022-12-18,2022,12,50
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-12-26,2023-01-01,2022,12,52
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-01-09,2023-01-15,2023,1,2
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-01-23,2023-01-29,2023,1,4
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-01-30,2023-02-05,2023,1,5
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2023-02-06,2023-02-12,2023,2,6
